x,y
276,-1452211408
277,-1452211408
278,-1452211408
279,-1452211408
280,-1452211408
281,-1452211408
282,-1452211408
283,-1452211408
284,-1452211408
285,-1452211408
286,-1452211408
287,-1452211408
288,-1452211408
289,-1452211408
290,-1452211408
291,-1452211408
292,739311792
293,-1452211408
294,-1452211408
295,-1452211408
296,-1452211408
297,-1452211408
298,-1452211408
299,-1452211408
300,-1452211408
301,-1452211408
302,-1452211408
303,-1452211408
304,-1452211408
305,-1452211408
306,-1452211408
307,-1452211408
308,-1452211408
309,-1452211408
310,-1452211408
311,-1452211408
312,-1452211408
313,-1452211408
314,-1452211408
315,-1452211408
316,739311792
317,-1452211408
318,-1452211408
319,739311792
320,-1452211408
321,1735457296
322,-1707015376
323,-1452211280
324,-1452211408
325,-1452211408
326,-1452211408
327,-1452211408
328,-1452211408
329,-1452211408
330,-1452211408
331,-1452211408
332,-1452211408
333,-1452211408
334,-1452211408
335,-1452211408
336,-1452211408
337,-1452211408
338,-1452211408
339,-1452211408
340,2078343984
341,-1452211408
342,-1452211408
343,-1452211408
344,-1452211408
345,-1452211408
346,-1452211408
347,-1452211408
348,-1452211408
349,-1452211408
350,-1452211408
351,-1452211408
352,-1452211408
353,-1452211408
354,-1452211408
355,-1452211408
356,-1452211408
357,-1452211408
358,-1452211408
359,-1452211408
360,-1452211408
361,-1452211280
362,-1452211408
363,-1452211408
364,-1452211408
365,-1452211408
366,-1452211408
367,-1452211408
368,-1452211408
369,-1452211408
370,-1452211408
371,-1452211408
372,-1452211408
373,-1452211408
374,-1452211408
375,-1452211408
376,-1452211408
377,-1452211408
378,-1452211408
379,-1452211408
380,-1452211408
381,-1452211408
382,-1452211408
383,-1452211408
384,-1452211408
385,-1452211408
386,-1452211408
387,-1452211408
388,-1452211408
389,-1452211408
390,-1452211408
391,-1452211408
392,-1452211408
393,-1452211408
394,-1452211408
395,-1452211408
396,-1452211408
397,-1452211408
398,-1452211408
399,-1452211408
400,-1452211408
401,-1452211408
402,-1452211408
403,-1452211408
404,-1452211408
405,-1452211280
406,-1452211408
407,-1452211408
408,-1452211408
409,-1452211408
410,-1452211408
411,-1452211408
412,-1452211408
413,-1452211408
414,-1452211408
415,-1452211408
416,-1452211408
417,-1452211408
