x,y
983,-1452211408
984,-1452211408
985,0
986,-1452211408
987,0
988,-1452211408
989,-1452211408
990,0
991,-1452211408
992,-1452211408
993,-1452211408
994,-1452211408
995,-1452211408
996,-1452211408
997,0
998,-1452211408
999,0
1000,0
1001,-1452211408
1002,0
1003,-1452211408
1004,1418727344
1005,-1452211408
1006,-895455664
1007,-1452211408
1008,-1452211408
1009,0
1010,-1452211408
1011,0
1012,9475040
1013,-1452211408
1014,0
1015,-1452211408
1016,-1452211408
1017,-1452211408
1018,-1452211408
1019,0
1020,-1452211408
1021,-1452211408
1022,-1452211408
1023,-1452211408
1024,0
1025,-1452211408
1026,-1452211408
1027,0
1028,-1452211408
1029,0
1030,-1452211408
1031,-1452211408
1032,-1452211408
1033,-1452211408
1034,1357955552
1035,-1452211408
1036,0
1037,-1452211408
1038,-1452211408
1039,0
1040,-1452211408
1041,1735457168
1042,0
1043,-1452211408
1044,0
1045,-1452211408
1046,-1452211408
1047,0
1048,-1452211408
1049,0
1050,-1452211408
1051,-1452211408
1052,0
1053,-1452211408
1054,628158432
1055,-1452211152
1056,-1452211408
1057,0
1058,-1452211408
1059,0
1060,0
1061,-1452211408
1062,0
1063,-1452211408
1064,-1452211408
1065,-1452211408
1066,-1452211408
1067,0
1068,-1452211408
1069,-1452211408
1070,-1452211408
1071,-1452211408
1072,0
1073,-1452211408
1074,0
1075,0
1076,-1452211408
1077,0
1078,0
1079,-1452211408
1080,0
1081,-1452211408
1082,-1452211408
1083,0
1084,-1452211408
1085,0
1086,-1452211408
1087,-1452211408
1088,0
1089,-1452211408
1090,-1452211408
1091,-463463344
1092,-1452211408
1093,-1452211408
1094,-1452211408
1095,-1452211408
1096,0
1097,-1452211408
1098,-1452211408
1099,0
1100,-1452211152
1101,-1452211408
1102,0
1103,-1452211152
1104,0
1105,-1452211408
1106,-1452211408
1107,0
1108,-1452211408
1109,0
1110,-1452211408
1111,-1452211408
1112,0
1113,-1452211408
1114,-1452211408
1115,-1452211408
1116,-1452211408
1117,0
1118,-1452211408
1119,-1452211408
1120,0
1121,-1452211408
1122,0
1123,-1452211408
1124,-1452211408
1125,-1452211408
1126,-1452211408
1127,-1452211408
1128,-1452211408
1129,0
1130,-1452211408
1131,1548786800
1132,-2023746736
1133,-1452211408
1134,0
1135,-1452211408
1136,-1452211408
1137,0
1138,-1452211408
1139,0
1140,-1452211408
1141,-1452211408
1142,0
1143,-1452211408
1144,-1452211408
1145,0
1146,-1452211408
1147,-1452211408
1148,752900128
1149,-1452211408
1150,1782603568
1151,-1452211408
1152,-1452211408
1153,0
1154,-1452211408
1155,-1452211408
1156,0
1157,-1452211408
1158,0
1159,0
1160,-1452211408
1161,0
1162,-1227875248
1163,-1452211152
1164,0
1165,-1452211408
1166,-1452211408
1167,0
1168,-1452211408
1169,-1452211408
1170,0
1171,-1452211408
1172,-1452211152
1173,0
1174,-1452211408
1175,-1452211408
1176,-1452211408
1177,-1452211408
1178,0
1179,-1452211408
1180,-1452211408
1181,-1452211408
1182,-1452211408
1183,0
1184,-1452211408
1185,-1452211408
1186,0
1187,-1452211408
1188,-1452211408
1189,1673531312
1190,-1452211408
1191,-1452211408
1192,0
1193,-1452211408
1194,-1452211408
1195,0
1196,-1452211408
1197,-1452211408
1198,0
1199,-1452211152
1200,0
1201,-1452211408
1202,-1452211408
1203,0
1204,-1452211408
1205,-1452211408
1206,0
1207,-1452211408
1208,-1452211408
1209,-167718048
1210,-1452211408
1211,0
1212,-1452211408
1213,-1452211408
1214,-609202816
1215,-1452211408
1216,1184911344
1217,-1452211408
1218,-1452211408
1219,0
1220,-1452211408
1221,-1452211408
1222,0
1223,-1452211408
1224,0
1225,0
1226,-1452211408
1227,0
1228,-1452211408
1229,-1452211408
1230,0
1231,-1893698112
1232,-1452211408
1233,0
1234,-1452211408
1235,-1452211408
1236,0
1237,-1452211408
1238,-1452211408
1239,0
1240,-1452211408
1241,-1452211408
1242,0
1243,-1452211408
1244,-1452211408
1245,-1452211408
1246,-1452211408
1247,0
1248,-1452211408
1249,-1452211408
1250,0
1251,-1452211408
1252,-1452211408
1253,-1452211408
1254,-1452211408
1255,0
1256,-1452211408
1257,-1452211408
1258,0
1259,-1452211152
1260,0
1261,498096160
1262,-1452211408
1263,0
1264,-1452211408
1265,-1452211152
1266,-1452211408
1267,-1452211408
1268,0
1269,-1452211408
1270,-1452211408
1271,0
1272,-1452211408
1273,-1452211408
1274,0
1275,-1452211408
1276,-1452211408
1277,-120569520
1278,-1452211408
1279,-1452211408
1280,0
1281,-1452211408
1282,-1452211408
1283,0
1284,-1452211408
1285,-1452211408
1286,0
1287,-1452211408
1288,-1452211408
1289,9475040
1290,-1452211408
1291,-99582704
1292,-1452211408
1293,-1452211408
1294,0
1295,-1452211408
1296,-1452211408
1297,0
1298,-1452211408
1299,0
1300,0
1301,-1452211408
1302,0
1303,-1893698112
1304,-1452211408
1305,0
1306,-1452211408
1307,-1452211408
1308,0
1309,-1452211408
1310,-1452211408
1311,0
1312,-1452211408
1313,-1452211408
1314,-1452211408
1315,-1452211408
1316,0
1317,-1452211408
1318,-1452211408
1319,0
1320,-1452211408
1321,-1452211408
1322,0
1323,-1452211408
1324,-1452211408
1325,0
1326,-1452211408
1327,-1452211408
1328,-1452211408
1329,-1452211408
1330,-1452211408
1331,-1452211408
1332,-1452211408
1333,0
1334,-1452211152
1335,-1452211408
1336,0
1337,-1452211408
1338,-1452211408
1339,0
1340,-1452211408
1341,-1452211408
1342,0
1343,-1452211408
1344,0
1345,0
1346,-1452211408
1347,0
1348,-786398176
1349,-1452211408
1350,0
1351,-1452211408
1352,-1452211408
1353,0
1354,-1452211408
1355,-1452211408
1356,0
1357,-1452211408
1358,-1452211408
1359,0
1360,-1452211408
1361,-1452211152
1362,0
1363,-1452211408
1364,-1452211408
1365,0
1366,-1452211408
1367,-1452211408
1368,0
1369,-1452211408
1370,-1452211280
1371,0
1372,-1452211408
1373,-1452211408
1374,0
1375,-1452211408
1376,-1452211408
1377,0
1378,-1452211408
1379,-1452211408
1380,0
1381,-1452211408
1382,-1452211408
1383,0
1384,-1452211408
1385,-1452211408
1386,0
1387,-1452211408
1388,-1452211152
1389,-1452211408
1390,-1452211408
1391,-1816080016
1392,-1452211408
1393,-1452211408
1394,-1452211408
1395,-1452211408
1396,-1452211408
1397,-1452211408
1398,-1452211408
1399,-1452211408
1400,0
1401,-1452211408
1402,-1452211408
1403,0
1404,-1452211408
1405,-1452211408
1406,0
1407,-1452211408
1408,-1452211408
1409,0
1410,-1452211408
1411,-1452211408
1412,0
1413,-1452211408
1414,-1452211408
1415,0
1416,-1452211408
1417,-1452211408
1418,0
1419,-1452211408
1420,-1452211408
1421,0
1422,-1452211408
1423,-1452211408
1424,0
1425,-1452211408
1426,-1452211408
1427,0
1428,-1452211408
1429,-1452211408
1430,0
1431,-1452211408
1432,-1452211408
1433,0
1434,0
1435,-1452211408
1436,-1452211408
1437,1782593840
1438,-1452211408
1439,-1452211408
1440,0
1441,-1452211408
1442,-1452211408
1443,0
1444,-1452211408
1445,-1452211408
1446,0
1447,0
1448,-1452211408
1449,0
1450,-1452211408
1451,-1452211408
1452,0
1453,-1452211408
1454,-1452211408
1455,1673531312
1456,0
1457,-1452211408
1458,0
1459,-1452211408
1460,-1452211408
1461,0
1462,-1452211408
1463,-1452211408
1464,0
1465,-1452211408
1466,-1452211408
1467,0
1468,-1452211408
1469,-1452211408
1470,0
1471,-1452211408
1472,-1452211280
1473,-1452211408
1474,-1452211408
1475,-1452211408
1476,0
1477,-1452211408
1478,-1452211408
1479,0
1480,-1452211408
1481,-1452211152
1482,-1405074512
1483,-1452211408
1484,-1452211408
1485,0
1486,-1452211408
1487,-1452211408
1488,0
1489,-1452211408
1490,-1452211408
1491,0
1492,628155328
1493,-1452211280
1494,0
1495,-1452211408
1496,-1452211408
1497,0
1498,-1452211408
1499,-1452211408
1500,0
1501,727778160
1502,-1452211408
1503,134234448
1504,0
1505,-1452211408
1506,0
1507,0
1508,-1452211408
1509,-1405063600
1510,0
1511,-1452211408
1512,-1452211408
1513,0
1514,-1452211408
1515,-1452211408
1516,0
1517,-1452211408
1518,-1452211408
1519,0
1520,-1452211408
1521,-1452211408
1522,-1452211408
1523,-1452211408
1524,-1452211408
1525,-1452211408
1526,-1452211408
1527,-1452211408
1528,-1452211408
1529,-1452211152
1530,-1452211408
1531,-1452211408
1532,0
1533,-1452211408
1534,-1452211408
1535,0
1536,-1452211408
1537,-1452211408
1538,0
1539,-1452211408
1540,-1452211408
1541,0
1542,-1452211408
1543,-1452211408
1544,0
1545,-1452211408
1546,-1452211408
1547,0
1548,-1452211408
1549,-1452211408
1550,-1452211408
1551,0
1552,-1452211408
1553,-1452211408
1554,0
1555,-1452211408
1556,-1452211408
1557,0
1558,0
1559,-1452211408
1560,0
1561,0
1562,-1452211408
1563,0
1564,0
1565,-1452211408
1566,0
1567,0
1568,-1452211408
1569,0
1570,0
1571,-1452211408
1572,0
1573,0
1574,-1452211408
1575,-1452211408
1576,0
1577,-1452211408
1578,-1452211408
1579,0
1580,-1452211408
1581,-1452211408
1582,-1452211408
1583,-1452211408
1584,-1452211408
1585,-1452211408
1586,0
1587,-1452211408
1588,-1452211408
1589,0
1590,-1452211408
1591,-1452211408
1592,-1452211408
1593,0
1594,-1452211408
1595,-1452211408
1596,0
1597,-1452211408
1598,-1452211408
1599,0
1600,-1452211408
1601,-1452211408
1602,0
1603,0
1604,-1452211408
1605,0
1606,-1452211408
1607,-1452211408
1608,0
1609,-1452211408
1610,-1452211408
1611,0
1612,-1452211408
1613,-1452211408
1614,-895455664
1615,0
1616,-1452211408
1617,0
1618,0
1619,-1452211408
1620,-1452211408
1621,0
1622,-1452211152
1623,-1452211408
1624,0
