x,y
964,178
965,178
966,179
967,179
968,179
969,179
970,179
971,179
972,179
973,180
974,180
975,180
976,181
977,181
978,181
979,181
980,181
981,181
982,181
983,181
984,182
985,183
986,184
987,184
988,184
989,184
990,184
991,184
992,184
993,184
994,184
995,185
996,185
997,185
998,185
999,185
1000,185
1001,185
1002,185
1003,185
1004,185
1005,185
1006,185
1007,185
1008,185
1009,185
1010,185
1011,185
1012,185
1013,185
1014,185
1015,185
1016,185
1017,186
1018,186
1019,186
1020,186
1021,186
1022,186
1023,186
1024,186
1025,187
1026,187
1027,187
1028,187
1029,187
1030,187
1031,187
1032,187
1033,187
1034,187
1035,187
1036,188
1037,188
1038,188
1039,188
1040,188
1041,188
1042,188
1043,188
1044,188
1045,188
1046,188
1047,188
1048,188
1049,188
1050,188
1051,188
1052,188
1053,188
1054,188
1055,188
1056,188
1057,188
1058,189
1059,189
1060,189
1061,189
1062,189
1063,189
1064,189
1065,189
1066,189
1067,189
1068,189
1069,189
1070,189
1071,189
1072,190
1073,190
1074,190
1075,190
1076,190
1077,190
1078,190
1079,190
1080,190
1081,190
1082,190
1083,191
1084,191
1085,191
1086,191
1087,192
1088,193
1089,193
1090,193
1091,193
1092,194
1093,194
1094,194
1095,194
1096,194
1097,195
1098,195
1099,195
1100,195
1101,195
1102,195
1103,196
1104,196
1105,196
1106,196
1107,196
1108,197
1109,197
1110,197
1111,197
1112,198
1113,198
1114,198
1115,198
1116,198
1117,198
1118,198
1119,198
1120,198
1121,198
1122,198
1123,198
1124,199
1125,200
1126,200
1127,200
1128,200
1129,200
1130,201
1131,202
1132,202
1133,202
1134,202
1135,202
1136,202
1137,202
1138,202
1139,202
1140,202
1141,202
1142,202
1143,202
1144,202
1145,202
1146,202
1147,202
1148,202
1149,202
1150,202
1151,202
1152,202
1153,202
1154,202
1155,202
1156,202
1157,203
1158,204
1159,204
1160,204
1161,204
1162,204
1163,205
1164,205
1165,205
1166,206
1167,206
1168,207
1169,207
1170,207
1171,207
1172,207
1173,207
1174,207
1175,207
1176,207
1177,208
1178,208
1179,208
1180,208
1181,208
1182,208
1183,208
1184,208
1185,208
1186,208
1187,208
1188,208
1189,208
1190,208
1191,208
1192,208
1193,208
1194,209
1195,209
1196,209
1197,209
1198,210
1199,210
1200,210
1201,210
1202,210
1203,210
1204,210
1205,210
1206,210
1207,210
1208,210
1209,210
1210,210
1211,210
1212,210
1213,210
1214,210
1215,210
1216,210
1217,211
1218,211
1219,211
1220,211
1221,211
1222,211
1223,212
1224,213
1225,213
1226,213
1227,213
1228,214
1229,215
1230,215
1231,215
1232,216
1233,216
1234,216
1235,217
1236,217
1237,217
1238,217
1239,217
1240,217
1241,217
1242,217
1243,217
1244,217
1245,217
1246,217
1247,217
1248,217
1249,217
1250,217
1251,217
1252,218
1253,218
1254,218
1255,218
1256,219
1257,219
1258,219
1259,219
1260,219
1261,219
1262,220
1263,220
1264,220
1265,221
1266,222
1267,222
1268,222
1269,222
1270,222
1271,222
1272,222
1273,222
1274,222
1275,222
1276,222
1277,222
1278,222
1279,222
1280,222
1281,222
1282,222
1283,222
1284,223
1285,223
1286,223
1287,224
1288,224
1289,224
1290,224
1291,224
1292,224
1293,224
1294,224
1295,224
1296,224
1297,224
1298,225
1299,225
1300,226
1301,226
1302,227
1303,227
1304,227
1305,227
1306,227
1307,227
1308,227
1309,227
1310,227
1311,228
1312,228
1313,228
1314,229
1315,229
1316,229
1317,229
1318,229
1319,229
1320,229
1321,229
1322,230
1323,230
1324,230
1325,230
1326,230
1327,230
1328,230
1329,230
1330,230
1331,231
1332,231
1333,231
1334,231
1335,231
1336,231
1337,231
1338,231
1339,232
1340,233
1341,233
1342,234
1343,234
1344,235
1345,235
1346,235
1347,235
1348,236
1349,236
1350,236
1351,236
1352,236
1353,236
1354,236
1355,236
1356,236
1357,237
1358,237
1359,237
1360,238
1361,238
1362,238
1363,238
1364,238
1365,238
1366,238
1367,238
1368,239
1369,239
1370,239
1371,239
1372,239
1373,239
1374,239
1375,239
1376,239
1377,239
1378,239
1379,239
1380,239
1381,239
1382,240
1383,241
1384,241
1385,241
1386,241
1387,241
